"month","production_type","gwh"
"2019M01","Karnkraft","6050"
"2019M01","Solkraft","4"
"2019M02","Total","14745"
"2019M02","VarmekrEjF","411"
"2019M02","VarmekrF","1281"
"2019M02","Vindkraft","2086"
"2019M02","Vattenkraft","5456"
"2019M02","Karnkraft","5497"
"2019M02","Solkraft","14"
"2019M03","Total","15687"
"2019M03","VarmekrEjF","398"
"2019M03","VarmekrF","1361"
"2019M03","Vindkraft","2375"
"2019M03","Vattenkraft","5766"
"2019M03","Karnkraft","5760"
"2019M03","Solkraft","27"
"2019M04","Total","13382"
"2019M04","VarmekrEjF","234"
"2019M04","VarmekrF","1171"
"2019M04","Vindkraft","1326"
"2019M04","Vattenkraft","5380"
"2019M04","Karnkraft","5211"
"2019M04","Solkraft","60"
"2019M05","Total","12794"
"2019M05","VarmekrEjF","118"
"2019M05","VarmekrF","914"
"2019M05","Vindkraft","1409"
"2019M05","Vattenkraft","5368"
"2019M05","Karnkraft","4930"
"2019M05","Solkraft","57"
"2019M06","Total","12905"
"2019M06","VarmekrEjF","98"
"2019M06","VarmekrF","720"
"2019M06","Vindkraft","1357"
"2019M06","Vattenkraft","4889"
"2019M06","Karnkraft","5771"
"2019M06","Solkraft","69"
"2019M07","Total","11994"
"2019M07","VarmekrEjF","158"
"2019M07","VarmekrF","724"
"2019M07","Vindkraft","1055"
"2019M07","Vattenkraft","4950"
"2019M07","Karnkraft","5036"
"2019M07","Solkraft","71"
"2019M08","Total","10873"
"2019M08","VarmekrEjF","132"
"2019M08","VarmekrF","720"
"2019M08","Vindkraft","1197"
"2019M08","Vattenkraft","3827"
"2019M08","Karnkraft","4930"
"2019M08","Solkraft","67"
"2019M09","Total","11405"
"2019M09","VarmekrEjF","124"
"2019M09","VarmekrF","761"
"2019M09","Vindkraft","1657"
"2019M09","Vattenkraft","4464"
"2019M09","Karnkraft","4351"
"2019M09","Solkraft","49"
"2019M10","Total","13949"
"2019M10","VarmekrEjF","161"
"2019M10","VarmekrF","1007"
"2019M10","Vindkraft","1638"
"2019M10","Vattenkraft","5660"
"2019M10","Karnkraft","5457"
"2019M10","Solkraft","25"
"2019M11","Total","14862"
"2019M11","VarmekrEjF","176"
"2019M11","VarmekrF","1277"
"2019M11","Vindkraft","1484"
"2019M11","Vattenkraft","6333"
"2019M11","Karnkraft","5585"
"2019M11","Solkraft","6"
"2019M12","Total","15918"
"2019M12","VarmekrEjF","194"
"2019M12","VarmekrF","1365"
"2019M12","Vindkraft","2478"
"2019M12","Vattenkraft","6122"
"2019M12","Karnkraft","5755"
"2019M12","Solkraft","4"
"2020M01","Total","16731"
"2020M01","VarmekrEjF","196"
"2020M01","VarmekrF","1320"
"2020M01","Vindkraft","3514"
"2020M01","Vattenkraft","5935"
"2020M01","Karnkraft","5760"
"2020M01","Solkraft","7"
"2020M02","Total","15521"
"2020M02","VarmekrEjF","168"
"2020M02","VarmekrF","1136"
"2020M02","Vindkraft","3051"
"2020M02","Vattenkraft","6462"
"2020M02","Karnkraft","4684"
"2020M02","Solkraft","20"
"2020M03","Total","16485"
"2020M03","VarmekrEjF","159"
"2020M03","VarmekrF","1099"
"2020M03","Vindkraft","2975"
"2020M03","Vattenkraft","7011"
"2020M03","Karnkraft","5181"
"2020M03","Solkraft","60"
"2020M04","Total","13742"
"2020M04","VarmekrEjF","139"
"2020M04","VarmekrF","831"
"2020M04","Vindkraft","2503"
"2020M04","Vattenkraft","6216"
"2020M04","Karnkraft","3953"
"2020M04","Solkraft","100"
"2020M05","Total","12195"
"2020M05","VarmekrEjF","140"
"2020M05","VarmekrF","795"
"2020M05","Vindkraft","1668"
"2020M05","Vattenkraft","6081"
"2020M05","Karnkraft","3398"
"2020M05","Solkraft","113"
"2020M06","Total","10324"
"2020M06","VarmekrEjF","142"
"2020M06","VarmekrF","682"
"2020M06","Vindkraft","1152"
"2020M06","Vattenkraft","5333"
"2020M06","Karnkraft","2890"
"2020M06","Solkraft","125"
"2020M07","Total","11018"
"2020M07","VarmekrEjF","151"
"2020M07","VarmekrF","645"
"2020M07","Vindkraft","1770"
"2020M07","Vattenkraft","4684"
"2020M07","Karnkraft","3656"
"2020M07","Solkraft","112"
"2020M08","Total","10511"
"2020M08","VarmekrEjF","97"
"2020M08","VarmekrF","654"
"2020M08","Vindkraft","1204"
"2020M08","Vattenkraft","5863"
"2020M08","Karnkraft","2563"
"2020M08","Solkraft","130"
"2020M09","Total","11117"
"2020M09","VarmekrEjF","136"
"2020M09","VarmekrF","754"
"2020M09","Vindkraft","2369"
"2020M09","Vattenkraft","4628"
"2020M09","Karnkraft","3148"
"2020M09","Solkraft","82"
"2020M10","Total","12919"
"2020M10","VarmekrEjF","175"
"2020M10","VarmekrF","864"
"2020M10","Vindkraft","2227"
"2020M10","Vattenkraft","5705"
"2020M10","Karnkraft","3911"
"2020M10","Solkraft","37"
"2020M11","Total","14054"
"2020M11","VarmekrEjF","159"
"2020M11","VarmekrF","971"
